('https-//m.vk.com/artist/awdelya', Fraction(8788757, 10982609575))
('https-//m.vk.com/authors/challenge', Fraction(569, 835940))
('https-//m.vk.com/artist/yungtrappa', Fraction(8788757, 10982609575))
('https-//m.vk.com/artist/genesisowusu', Fraction(51383, 63804400))
('https-//m.vk.com/vkmusic/voting', Fraction(67, 204720))
('https-//vk.com/jobs/309', Fraction(83, 81035))
('https-//m.vk.com/artist/lucaveros', Fraction(89399033, 98843486175))
('https-//m.vk.com/@authors-prometheus', Fraction(102, 208985))
('https-//m.vk.com/wall-194351072_14297', Fraction(307, 754905))
('https-//vk.com/blog/focus', Fraction(29, 106625))
('https-//m.vk.com/artist/hollywoodundead', Fraction(21962, 32989775))
('https-//m.vk.com/photo-27902394_457261374', Fraction(1481, 2537675))
('https-//m.vk.com/artist/katykirby', Fraction(58863, 63804400))
('https-//m.vk.com/photo-27902394_457259459', Fraction(7, 12795))
('https-//m.vk.com/photo-78152597_457241328', Fraction(39269, 72726780))
('https-//m.vk.com/sveteducation', Fraction(73, 179130))
('https-//vk.com/blog/verification', Fraction(29, 106625))
('https-//vk.com/jobs/403', Fraction(83, 81035))
('https-//m.vk.com/artist/alsu', Fraction(9749, 11259600))
('https-//m.vk.com/fabergemuseum', Fraction(3351, 1212113))
('https-//m.vk.com/artist/thefirststation', Fraction(8788757, 10982609575))
('https-//m.vk.com/@adminsclub-bezopasnost', Fraction(6, 21325))
('https-//m.vk.com/artist/riell', Fraction(81356, 98969325))
('https-//m.vk.com/wall-19542789_155722', Fraction(413, 1113165))
('https-//vk.com/wall-22822305_1148195', Fraction(1951, 4785330))
('https-//m.vk.com/@adminsclub-new-groups', Fraction(16, 21325))
('https-//m.vk.com/artist/olivertree', Fraction(94174, 98969325))
('https-//m.vk.com/vsenabort_mk', Fraction(1, 2559))
('https-//m.vk.com/wall-27902394_1067169', Fraction(163, 362525))
('https-//m.vk.com/artist/thebeatles', Fraction(21962, 32989775))
('https-//m.vk.com/tfest', Fraction(32767, 33778800))
('https-//vk.com/clips/effect/-18517041_22286', Fraction(13909, 32460915))
('https-//m.vk.com/vkadmin', Fraction(74, 191925))
('https-//m.vk.com/artist/trespasserswilliam', Fraction(416284, 494846625))
('https-//m.vk.com/wall-59800369_154919', Fraction(2, 4265))
('https-//m.vk.com/photo-27902394_457261565', Fraction(161, 290020))
('https-//m.vk.com/artist/komsomolsk', Fraction(96826, 98969325))
('https-//m.vk.com/artist/thousandfootkrutch', Fraction(37432, 32989775))
('https-//m.vk.com/photo-145197445_457240383', Fraction(30743, 72726780))
('https-//m.vk.com/clip-194351072_456239343', Fraction(3683, 5284335))
('https-//vk.com/blog/vk-donut', Fraction(29, 106625))
('https-//m.vk.com/vkteam/music', Fraction(603, 1940575))
('https-//m.vk.com/photo-59800369_457246744', Fraction(16, 21325))
('https-//m.vk.com/artist/andyhull', Fraction(51383, 63804400))
('https-//vk.com/jobs/310', Fraction(83, 81035))
('https-//m.vk.com/wall-194351072_14317', Fraction(2441, 8807225))
('https-//vk.com/blog/vk-connect', Fraction(29, 106625))
('https-//vk.com/@vk', Fraction(139, 478533))
('https-//m.vk.com/@adminsclub-pravila', Fraction(6, 21325))
('https-//m.vk.com/it_marketer', Fraction(5197, 5565825))
('https-//m.vk.com/artist/khoiba', Fraction(300259, 494846625))
('https-//vk.com/jobs/353', Fraction(83, 81035))
('https-//m.vk.com/@vkteam-cup', Fraction(509, 1940575))
('https-//vk.com/jobs/319', Fraction(83, 81035))
('https-//m.vk.com/artist/lapka', Fraction(8788757, 10982609575))
('https-//m.vk.com/artist/gazan', Fraction(8788757, 10982609575))
('https-//m.vk.com/photo-19542789_457350340', Fraction(3562, 4328975))
('https-//m.vk.com/photo-69570324_457244041', Fraction(22093, 54545085))
('https-//m.vk.com/artist/ninanesbitt', Fraction(21962, 32989775))
('https-//m.vk.com/artist/julienbaker', Fraction(51383, 63804400))
('https-//m.vk.com/photo-133526900_456241008', Fraction(2139, 6060565))
('https-//m.vk.com/artist/rombi_bombi_mtyxmjq5nzkyma', Fraction(8788757, 10982609575))
('https-//vk.com/jobs/345', Fraction(83, 81035))
('https-//m.vk.com/artist/wattwhite', Fraction(21962, 32989775))
('https-//m.vk.com/photo-49698330_457241903', Fraction(195, 459767))
('https-//m.vk.com/artist/t_fest', Fraction(2478583, 2824099605))
('https-//vk.com/jobs/405', Fraction(83, 81035))
('https-//vk.com/blog/the-future-is-here', Fraction(187, 319875))
('https-//m.vk.com/@business-kak-napisat-keis', Fraction(2003, 1855275))
('https-//m.vk.com/artist/7901606621889663816', Fraction(51383, 63804400))
('https-//m.vk.com/combo_vk', Fraction(9099, 19375895))
('https-//m.vk.com/@authors-kak-vesti-svou-stranicu-chtoby-ee-zametil-prometei', Fraction(53, 208985))
('https-//m.vk.com/artist/fleetfoxes', Fraction(81356, 98969325))
('https-//m.vk.com/artist/chelseawolfe', Fraction(102562979, 87093006000))
('https-//vk.com/jobs/343', Fraction(83, 81035))
('https-//m.vk.com/photo-69570324_457243862', Fraction(7829, 10909017))
('https-//vk.com/blog/new-in-superapp', Fraction(29, 106625))
('https-//vk.com/blog/new-group-calls', Fraction(797, 1919250))
('https-//m.vk.com/wall-59800369_156625', Fraction(2, 4265))
('https-//m.vk.com/clip61680841_456241628', Fraction(181, 251635))
('https-//m.vk.com/artist/stellar_mtuyodi0ndq3na', Fraction(81356, 98969325))
('https-//m.vk.com/photo-59800369_457246663', Fraction(2, 2559))
('https-//m.vk.com/photo-59800369_456243914', Fraction(7, 12795))
('https-//m.vk.com/artist/brick_mortar', Fraction(81356, 98969325))
('https-//m.vk.com/artist/daitetank', Fraction(96826, 98969325))
('https-//m.vk.com/artist/elliottsmith_mtu5ode5ntuymw', Fraction(532309, 494846625))
('https-//m.vk.com/wall-19542789_155553', Fraction(223, 618425))
('https-//vk.com/blog/vk-fresh-code', Fraction(29, 106625))
('https-//m.vk.com/wall-19542789_155361', Fraction(347, 865795))
('https-//m.vk.com/artist/raychen', Fraction(81356, 98969325))
('https-//m.vk.com/music/curator/musicviking', Fraction(21463, 63804400))
('https-//m.vk.com/artist/iamthemorning', Fraction(151653, 164948875))
('https-//m.vk.com/wall-76477496_151287', Fraction(6814, 10909017))
('https-//m.vk.com/vkmusic/album', Fraction(28837, 47290320))
('https-//m.vk.com/artist/2325661547962827046', Fraction(81356, 98969325))
('https-//m.vk.com/artist/portishead', Fraction(112978, 164948875))
('https-//m.vk.com/wall-19542789_155524', Fraction(281, 618425))
('https-//m.vk.com/photo-19542789_457350930', Fraction(956, 865795))
('https-//vk.com/jobs/318', Fraction(83, 81035))
('https-//vk.com/videos-147415323', Fraction(743, 1940575))
('https-//m.vk.com/wall-147845620_352140', Fraction(125, 450384))
('https-//m.vk.com/@tech-my-profile', Fraction(509, 1940575))
('https-//vk.com/clips/hashtag/%D0%B4%D1%83%D1%80%D0%B0%D0%BA%D0%B0%D0%BC%D0%B2%D0%B5%D0%B7%D1%91%D1%82', Fraction(324343, 595116775))
('https-//vk.com/blog/themefeeds', Fraction(54, 106625))
('https-//m.vk.com/photo-69570324_457243522', Fraction(22093, 54545085))
('https-//m.vk.com/artist/fogel', Fraction(5259091, 4706832675))
('https-//m.vk.com/artist/thepierces', Fraction(416284, 494846625))
('https-//vk.com/jobs/398', Fraction(83, 81035))
('https-//m.vk.com/artist/danilstepanov', Fraction(21216161, 32947828725))
('https-//m.vk.com/artist/japanesebreakfast', Fraction(58863, 63804400))
('https-//m.vk.com/wall-59800369_156741', Fraction(28, 63975))
('https-//m.vk.com/wall-59800369_154159', Fraction(2, 4265))
('https-//vk.com/blog/clips', Fraction(29, 106625))
('https-//m.vk.com/wall-147415323_9168', Fraction(67, 89565))
('https-//vk.com/jobs/371', Fraction(83, 81035))
('https-//m.vk.com/photo-59800369_457246505', Fraction(2, 2559))
('https-//m.vk.com/mashahima', Fraction(41459, 55888560))
('https-//m.vk.com/@adminsclub', Fraction(6, 21325))
('https-//m.vk.com/wall-147415323_9115', Fraction(107, 149275))
('https-//m.vk.com/eduard.mukhin', Fraction(4327, 5565825))
('https-//vk.com/blog/combo', Fraction(29, 106625))
('https-//m.vk.com/brucehames', Fraction(53479, 72726780))
('https-//m.vk.com/artist/alt_j_mtywota1ndm3ng', Fraction(21962, 32989775))
('https-//m.vk.com/wall-194351072_14219', Fraction(677, 1761445))
('https-//vk.com/jobs/330', Fraction(83, 81035))
('https-//m.vk.com/wall-59800369_155813', Fraction(2, 4265))
('https-//m.vk.com/wall-147415323_9208', Fraction(27, 29855))
('https-//m.vk.com/@business-sertifikaciya-i-katalog', Fraction(19, 49474))
('https-//vk.com/jobs/361', Fraction(83, 81035))
('https-//vk.com/jobs/402', Fraction(83, 81035))
('https-//m.vk.com/photo-19542789_457350339', Fraction(10483, 12986925))
('https-//vk.com/jobs/48', Fraction(83, 81035))
('https-//m.vk.com/@vkteam-hackathon', Fraction(509, 1940575))
('https-//m.vk.com/@adminsclub-monetizaciya-vkontakte', Fraction(6, 21325))
('https-//vk.com/jobs/397', Fraction(83, 81035))
('https-//m.vk.com/nervyofficial', Fraction(829, 1433040))
('https-//vk.com/jobs/406', Fraction(83, 81035))
('https-//m.vk.com/wall-19542789_155667', Fraction(157, 371055))
('https-//m.vk.com/wall-194351072_14254', Fraction(929, 2767985))
('https-//m.vk.com/photo-19542789_457350343', Fraction(513, 618425))
('https-//vk.com/jobs/325', Fraction(83, 81035))
('https-//m.vk.com/artist/st', Fraction(11363812, 10982609575))
('https-//m.vk.com/artist/autoheart', Fraction(21962, 32989775))
('https-//m.vk.com/clip-18517041_456242497', Fraction(484, 754905))
('https-//m.vk.com/artist/whileshesleeps', Fraction(127223, 87824880))
('https-//m.vk.com/blog/speech-recognition', Fraction(13, 15354))
('https-//m.vk.com/wall-147415323_9094', Fraction(10566, 32989775))
('https-//m.vk.com/artist/solseppy', Fraction(112978, 164948875))
('https-//m.vk.com/vkmusic/metal', Fraction(3967, 9758320))
('https-//m.vk.com/artist/uncleflexxx', Fraction(21216161, 32947828725))
('https-//m.vk.com/artist/blink_182', Fraction(755686, 1088662575))
('https-//vk.com/jobs/408', Fraction(83, 81035))
('https-//m.vk.com/artist/moby', Fraction(81356, 98969325))
('https-//m.vk.com/artist/placebo', Fraction(81356, 98969325))
('https-//vk.com/jobs/332', Fraction(83, 81035))
